time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,surface,radius_cm
153840,0.168503398181,0.168092857691,0.166855679718,0.164773641038,0.161813123465,0.157920493764,0.153011274574,0.146950857198,0.139516236189,0.130303453993,0.118464568958,0.101613454217,,,,,,,,,0.053780315561,1.200000000000
153900,0.168456486942,0.168046136646,0.166809530066,0.164728446989,0.161769275215,0.157878391647,0.152971336406,0.146913531014,0.139482023553,0.130272959107,0.118438620387,0.101593527890,,,,,,,,,0.053776726352,1.200000000000
153960,0.168409620683,0.167999460369,0.166763424550,0.164683296023,0.161725468569,0.157836329229,0.152931435597,0.146876239398,0.139447842205,0.130242491663,0.118412694679,0.101573618604,,,,,,,,,0.053773142260,1.200000000000
154020,0.168362799338,0.167952828796,0.166717363105,0.164638188075,0.161681703467,0.157794306454,0.152891572094,0.146838982300,0.139413692099,0.130212051623,0.118386791800,0.101553726338,,,,,,,,,0.053769563275,1.200000000000
154080,0.168316022838,0.167906241859,0.166671345667,0.164593123082,0.161637979847,0.157752323263,0.152851745843,0.146801759670,0.139379573191,0.130181638948,0.118360911720,0.101533851067,,,,,,,,,0.053765989389,1.200000000000
154140,0.168269291120,0.167859699493,0.166625372170,0.164548100982,0.161594297648,0.157710379598,0.152811956790,0.146764571459,0.139345485436,0.130151253601,0.118335054407,0.101513992770,,,,,,,,,0.053762420591,1.200000000000
154200,0.168222604116,0.167813201631,0.166579442550,0.164503121711,0.161550656811,0.157668475401,0.152772204881,0.146727417618,0.139311428790,0.130120895541,0.118309219829,0.101494151424,,,,,,,,,0.053758856871,1.200000000000
154260,0.168175961760,0.167766748210,0.166533556742,0.164458185206,0.161507057274,0.157626610616,0.152732490063,0.146690298096,0.139277403209,0.130090564732,0.118283407956,0.101474327005,,,,,,,,,0.053755298220,1.200000000000
154320,0.168129363987,0.167720339161,0.166487714681,0.164413291404,0.161463498977,0.157584785185,0.152692812281,0.146653212845,0.139243408649,0.130060261135,0.118257618756,0.101454519491,,,,,,,,,0.053751744628,1.200000000000
154380,0.168082810731,0.167673974422,0.166441916304,0.164368440243,0.161419981860,0.157542999051,0.152653171482,0.146616161816,0.139209445065,0.130029984711,0.118231852197,0.101434728859,,,,,,,,,0.053748196085,1.200000000000
154440,0.168036301926,0.167627653926,0.166396161546,0.164323631661,0.161376505862,0.157501252156,0.152613567613,0.146579144960,0.139175512414,0.129999735423,0.118206108249,0.101414955086,,,,,,,,,0.053744652583,1.200000000000
154500,0.167989837507,0.167581377608,0.166350450342,0.164278865595,0.161333070924,0.157459544444,0.152574000621,0.146542162227,0.139141610652,0.129969513233,0.118180386880,0.101395198150,,,,,,,,,0.053741114111,1.200000000000
154560,0.167943417409,0.167535145403,0.166304782630,0.164234141982,0.161289676986,0.157417875857,0.152534470451,0.146505213569,0.139107739735,0.129939318103,0.118154688059,0.101375458029,,,,,,,,,0.053737580660,1.200000000000
154620,0.167897041566,0.167488957246,0.166259158345,0.164189460760,0.161246323988,0.157376246339,0.152494977052,0.146468298937,0.139073899620,0.129909149994,0.118129011755,0.101355734699,,,,,,,,,0.053734052221,1.200000000000
154680,0.167850709914,0.167442813073,0.166213577423,0.164144821868,0.161203011870,0.157334655833,0.152455520369,0.146431418282,0.139040090262,0.129879008869,0.118103357938,0.101336028138,,,,,,,,,0.053730528783,1.200000000000
154740,0.167804422387,0.167396712819,0.166168039801,0.164100225244,0.161159740572,0.157293104282,0.152416100351,0.146394571556,0.139006311618,0.129848894691,0.118077726576,0.101316338324,,,,,,,,,0.053727010338,1.200000000000
