time_s,radius_m,min_C,max_C_all_grid_nodes,mean_C_dry_mass_weighted,max_node
54600,0.02,0.10635915877371878,0.35217457239783645,0.26297130023238469,0
54660,0.02,0.10617461543970239,0.35177868064463247,0.26270121952903636,0
54720,0.02,0.10599095752254767,0.3513839877102431,0.26243202250671044,0
54780,0.02,0.10580818007633243,0.35099048877180877,0.26216370492728502,0
54840,0.02,0.10562627817806437,0.35059817902771806,0.26189626257632376,0
54900,0.02,0.10544524692773193,0.35020705369752103,0.26162969126296615,0
54960,0.02,0.10526508144835166,0.34981710802184296,0.26136398681981571,0
55020,0.02,0.10508577688601234,0.34942833726229794,0.26109914510283078,0
55080,0.02,0.10490732840991566,0.34904073670140334,0.26083516199121226,0
55140,0.02,0.10472973121241379,0.34865430164249406,0.26057203338729418,0
55200,0.02,0.10455298050904345,0.34826902740963689,0.26030975521643113,0
55260,0.02,0.10437707153855703,0.34788490934754579,0.26004832342688772,0
55320,0.02,0.10420199956295037,0.34750194282149666,0.25978773398972643,0
55380,0.02,0.10402775986748745,0.34712012321724267,0.25952798289869655,0
55440,0.02,0.10385434776072197,0.3467394459409302,0.25926906617012213,0
55500,0.02,0.10368175857451581,0.34635990641901426,0.25901097984279042,0
55560,0.02,0.1035099876640546,0.3459815000981748,0.25875371997783941,0
55620,0.02,0.10333903040786019,0.34560422244523298,0.25849728265864652,0
55680,0.02,0.10316888220780011,0.3452280689470677,0.25824166399071619,0
55740,0.02,0.10299953848909435,0.34485303511053239,0.25798686010156768,0
55800,0.02,0.10283099470031903,0.34447911646237228,0.25773286714062321,0
55860,0.02,0.10266324631340737,0.34410630854914132,0.25747968127909582,0
55920,0.02,0.10249628882364786,0.34373460693711999,0.25722729870987726,0
55980,0.02,0.10233011774967965,0.34336400721223309,0.25697571564742566,0
56040,0.02,0.1021647286334853,0.34299450497996764,0.25672492832765392,0
56100,0.02,0.10200011704038078,0.34262609586529125,0.25647493300781737,0
56160,0.02,0.10183627855900299,0.3422587755125705,0.25622572596640159,0
56220,0.02,0.10167320880129452,0.34189253958548987,0.25597730350301096,0
56280,0.02,0.10151090340248606,0.34152738376697062,0.25572966193825658,0
56340,0.02,0.10134935802107627,0.3411633037590901,0.25548279761364495,0
56400,0.02,0.10118856833880904,0.34080029528300121,0.2552367068914651,0
56460,0.02,0.10102853006064873,0.34043835407885215,0.25499138615467898,0
56520,0.02,0.10086923891475257,0.34007747590570631,0.25474683180680835,0
56580,0.02,0.10071069065244115,0.33971765654146258,0.25450304027182441,0
56640,0.02,0.10055288104816648,0.33935889178277578,0.2542600079940367,0
56700,0.02,0.10039580589947772,0.33900117744497738,0.2540177314379814,0
56760,0.02,0.10023946102698499,0.33864450936199647,0.25377620708831183,0
56820,0.02,0.10008384227432075,0.33828888338628071,0.25353543144968638,0
56880,0.02,0.099928945508099332,0.33793429538871816,0.25329540104665943,0
56940,0.02,0.099774766617874239,0.33758074125855858,0.25305611242357012,0
57000,0.02,0.099621301516093566,0.33722821690333554,0.25281756214443307,0
57060,0.02,0.099468546138053351,0.33687671824878856,0.25257974679282796,0
57120,0.02,0.099316496441849075,0.3365262412387855,0.25234266297179059,0
57180,0.02,0.099165148408325257,0.33617678183524508,0.25210630730370343,0
57240,0.02,0.099014498041023205,0.33582833601805989,0.25187067643018585,0
57300,0.02,0.098864541366127004,0.33548089978501944,0.25163576701198626,0
57360,0.02,0.098715274432407699,0.33513446915173373,0.25140157572887312,0
57420,0.02,0.098566693311165784,0.33478904015155647,0.25116809927952671,0
57480,0.02,0.098418794096172074,0.33444460883550919,0.2509353343814309,0
57540,0.02,0.098271572903606871,0.33410117127220534,0.25070327777076606,0
57600,0.02,0.098125025871997618,0.33375872354777453,0.25047192620230069,0
57660,0.02,0.097979149162154874,0.33341726176578701,0.25024127644928534,0
57720,0.02,0.097833938957106972,0.33307678204717883,0.25001132530334508,0
57780,0.02,0.097689391462033065,0.33273728053017643,0.24978206957437316,0
57840,0.02,0.097545502904194809,0.33239875337022223,0.24955350609042531,0
57900,0.02,0.097402269532866556,0.33206119673990014,0.24932563169761329,0
57960,0.02,0.097259687619264429,0.33172460682886129,0.24909844325999947,0
58020,0.02,0.097117753456473804,0.33138897984374999,0.24887193765949234,0
58080,0.02,0.096976463359375681,0.33105431200813001,0.24864611179574089,0
58140,0.02,0.096835813664571835,0.33072059956241123,0.24842096258603052,0
58200,0.02,0.096695800730308673,0.33038783876377614,0.24819648696517918,0
58260,0.02,0.096556420936399975,0.330056025886107,0.24797268188543328,0
58320,0.02,0.096417670684148568,0.32972515721991291,0.24774954431636456,0
58380,0.02,0.096279546396266777,0.32939522907225749,0.24752707124476728,0
58440,0.02,0.096142044516795935,0.32906623776668631,0.24730525967455477,0
58500,0.02,0.096005161511024853,0.32873817964315494,0.24708410662665892,0
58560,0.02,0.095868893865407243,0.32841105105795726,0.2468636091389268,0
58620,0.02,0.095733238087478273,0.3280848483836537,0.24664376426601994,0
58680,0.02,0.095598190705770164,0.32775956800899986,0.24642456907931343,0
58740,0.02,0.095463748269726881,0.32743520633887568,0.24620602066679484,0
58800,0.02,0.09532990734961802,0.32711175979421436,0.24598811613296484,0
58860,0.02,0.0951966645364518,0.32678922481193162,0.24577085259873679,0
58920,0.02,0.095064016441887431,0.32646759784485563,0.24555422720133763,0
58980,0.02,0.094931959698146495,0.32614687536165665,0.24533823709420882,0
59040,0.02,0.094800490957923797,0.32582705384677724,0.24512287944690817,0
59100,0.02,0.094669606894297376,0.32550812980036248,0.24490815144501141,0
59160,0.02,0.094539304200638011,0.32519009973819057,0.24469405029001523,0
59220,0.02,0.09440957959051792,0.32487296019160367,0.24448057319923888,0
59280,0.02,0.094280429797618914,0.32455670770743894,0.24426771740572875,0
59340,0.02,0.094151851575640072,0.32424133884795991,0.24405548015816123,0
59400,0.02,0.094023841698204741,0.32392685019078782,0.24384385872074721,0
59460,0.02,0.093896396958766989,0.32361323832883354,0.24363285037313637,0
59520,0.02,0.093769514170517737,0.32330049987022935,0.24342245241032257,0
59580,0.02,0.093643190166290163,0.32298863143826162,0.2432126621425493,0
59640,0.02,0.09351742179846495,0.32267762967130287,0.24300347689521512,0
59700,0.02,0.093392205938874859,0.3223674912227445,0.24279489400878063,0
59760,0.02,0.093267539478709069,0.32205821276093,0.24258691083867537,0
59820,0.02,0.093143419328417063,0.32174979096908801,0.24237952475520474,0
59880,0.02,0.093019842417612256,0.32144222254526561,0.24217273314345755,0
59940,0.02,0.092896805694975187,0.32113550420226222,0.24196653340321536,0
